vessel,group3,group4,median_length,median_speed,mean_speed,min_speed,max_speed,count,clusters,group1,group2,isolated?,length,width,tonnage,MMSI,Remarks,isolated_axial_calderas
Ro-Ro/Passenger Ship,,,38.7,97,97.18272171,2,146,1308,1,Dry Cargo,,0,,,,,,0
SAR,,,64,61,102.5510204,8,238,49,4,,,0,,,,,,0
SAR Aircraft,,,0,125,124.359375,117,127,128,1,,,0,,,,,,0
Sailing Vessel,Recreational,Recreational,41,63,65.90909091,7,131,550,1,,,0,,,,,,1
Self Discharging Bulk Carrier,Bulk,Cargo typeC,225,125,123.186934,0,146,1546,2,Dry Cargo,,0,,,,,,1
Special Vessel,Research,Research,63.6,78,68.37583893,0,173,3278,4,,,1,79.71 ,15.85 ,1556,338417000,its research vessel in marine traffic,1
Tanker,Wet Cargo,Cargo typeC,228,123,110.9832685,3,571,5917,2,Tankers,,1,243 ,42.03 ,109085 ,477144300,crude oil tanker in marinetraffic,1
Tanker - Hazard B,,,159,122,121.7231638,111,134,177,0,Tankers,,0,,,,,,0
Timber Carrier,,,189.77,120,119.7758985,84,142,473,2,Dry Cargo,,0,,,,,,0
Towing Vessel,Fishing type,Fishing type,36.58,78,78.94394135,0,115,16233,1,,,1,36.58 ,11 ,595 ,303681000,,1
Trawler,Fishing type,Fishing type,35,92,100.3689912,0,150,1477,1,Class A,,0,,,,,,1
Tug,Fishing type,Fishing type,37.03,95,90.54729332,0,858,30554,1,Class A,Specialised cargo,1,73.2 ,20 ,3506 ,220589000,,1
Tug/Supply Vessel,Fishing type,Fishing type,73.2,65,74.69860724,3,152,1795,4,Class A,Specialised cargo,1,,,,,,1
Unspecified,Specialised cargo,,28,110,105.979684,2,230,886,1,,,1,,,,,,1
Utility Vessel,,,79.71,33,49.40145985,1,112,137,4,,,0,,,,,,0
Vehicles Carrier,Specialised cargo,Cargo typeB,199.94,148,139.1504797,0,933,97455,2,Dry Cargo,,1,199.94 ,32.2 ,17765 ,372148000,,1
Wood Chips Carrier,Dry Cargo,Cargo typeB,199.96,123,119.3062005,4,156,25111,2,Dry Cargo,,1,199.99 ,32.2 ,49710 ,372828000,,1
Yacht,Recreational,Recreational,47.87,128,119.7841833,8,158,1353,1,Passenger,Specialised cargo,1,40.27,7.37 ,,538070715,,1
